"id","german","english","language","phase","nextgame","partnerid"
"182","etw. tragen, etw. ertragen, etw. aushalten","to bear","en","0","30.01.2022","183"
"183","etw. tragen, etw. ertragen, etw. aushalten","to bear","de","0","30.01.2022","182"
"184","die Verachtung, die Geringschätzung","disdain","en","0","30.01.2022","185"
"185","die Verachtung, die Geringschätzung","disdain","de","0","30.01.2022","184"
"186","der Einklang, das Abkommen","accord","en","0","30.01.2022","187"
"187","der Einklang, das Abkommen","accord","de","0","30.01.2022","186"
"188","die Übelkeit, der Brechreiz","nausea","en","0","30.01.2022","189"
"189","die Übelkeit, der Brechreiz","nausea","de","0","30.01.2022","188"
"190","entsetzlich, erschreckend","appalling","en","0","30.01.2022","191"
"191","entsetzlich, erschreckend","appalling","de","0","30.01.2022","190"
"192","die Beurteilung, die Bewertung","assessement","en","0","30.01.2022","193"
"193","die Beurteilung, die Bewertung","assessement","de","0","30.01.2022","192"
"194","etw. werfen, etw. schleudern","to toss","en","0","30.01.2022","195"
"195","etw. werfen, etw. schleudern","to toss","de","0","30.01.2022","194"
"196","der Münzwurf","coin toss","en","0","30.01.2022","197"
"197","der Münzwurf","coin toss","de","0","30.01.2022","196"
"198","matt, stumpf, glanzlos, langweilig","dull","en","0","30.01.2022","199"
"199","matt, stumpf, glanzlos, langweilig","dull","de","0","30.01.2022","198"
"200","verdankt, geschuldet","owed","en","0","30.01.2022","201"
"201","verdankt, geschuldet","owed","de","0","30.01.2022","200"
"202","absolut, ganz und gar","utterly","en","0","30.01.2022","203"
"203","absolut, ganz und gar","utterly","de","0","30.01.2022","202"
"204","etw. ergreifen, anpacken","to seize","en","0","27.02.2022","205"
"205","etw. ergreifen, anpacken","to seize","de","0","27.02.2022","204"
"206","die Handfläche","palm","en","0","27.02.2022","207"
"207","die Handfläche","palm","de","0","27.02.2022","206"
"208","das Erbrochene","vomit","en","0","27.02.2022","209"
"209","das Erbrochene","vomit","de","0","27.02.2022","208"
"210","sich übergeben","to vomit","en","0","27.02.2022","211"
"211","sich übergeben","to vomit","de","0","27.02.2022","210"
"212","stagnant","stagnierend","en","0","27.02.2022","213"
"213","stagnant","stagnierend","de","0","27.02.2022","212"
"214","die Schwärmerei","rhapsody","en","0","27.02.2022","215"
"215","die Schwärmerei","rhapsody","de","0","27.02.2022","214"
"216","über etw. ins Schwärmen geraten","to go into rhapsody about sth.","en","0","27.02.2022","217"
"217","über etw. ins Schwärmen geraten","to go into rhapsody about sth.","de","0","27.02.2022","216"
"218","der Ruhm, die Berühmtheit","stardom","en","0","27.02.2022","219"
"219","der Ruhm, die Berühmtheit","stardom","de","0","27.02.2022","218"
"220","die Obduktion, die Autopsie","post mortem","en","0","27.02.2022","221"
"221","die Obduktion, die Autopsie","post mortem","de","0","27.02.2022","220"
"222","der Weltenbummler","globetrotter","en","0","27.02.2022","223"
"223","der Weltenbummler","globetrotter","de","0","27.02.2022","222"
"224","etw. verstärken, erweitern, vertiefen","to amplify sth.","en","0","27.02.2022","225"
"225","etw. verstärken, erweitern, vertiefen","to amplify sth.","de","0","27.02.2022","224"
"226","die Briefmarke, der Stempel","stamp","en","0","27.02.2022","227"
"227","die Briefmarke, der Stempel","stamp","de","0","27.02.2022","226"
"228","die Windel","diaper","en","0","27.02.2022","229"
"229","die Windel","diaper","de","0","27.02.2022","228"
"230","wackeln, torkeln, schwanken","to totter","en","0","27.02.2022","231"
"231","wackeln, torkeln, schwanken","to totter","de","0","27.02.2022","230"
"232","der Anhänger","trailer","en","0","27.02.2022","233"
"233","der Anhänger","trailer","de","0","27.02.2022","232"
"234","verblassen, nachlassen","to fade","en","0","28.02.2022","235"
"235","verblassen, nachlassen","to fade","de","0","28.02.2022","234"
"236","seufzen, aufatmen","to sigh","en","0","28.02.2022","237"
"237","seufzen, aufatmen","to sigh","de","0","28.02.2022","236"
"238","Seufzer","sigh","en","0","28.02.2022","239"
"239","Seufzer","sigh","de","0","28.02.2022","238"
"240","Leid, Trauer, Sorge","sorrow","en","0","28.02.2022","241"
"241","Leid, Trauer, Sorge","sorrow","de","0","28.02.2022","240"
"242","erleichtern, mindern, nachgeben","to ease","en","0","28.02.2022","243"
"243","erleichtern, mindern, nachgeben","to ease","de","0","28.02.2022","242"
"244","verliebt, zärtlich, liebevoll","fond","en","0","28.02.2022","245"
"245","verliebt, zärtlich, liebevoll","fond","de","0","28.02.2022","244"
"246","rücksichtslos, leichtsinnig, waghalsig","reckless","en","0","28.02.2022","247"
"247","rücksichtslos, leichtsinnig, waghalsig","reckless","de","0","28.02.2022","246"
